,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading
233,189,1138,6208,120000,120000,120000,-2.808367403541775,-2.299307032441333,-1.6611455771342738,0.4586224554858249
234,155,953,5414,120000,120000,120000,-2.9522947089311904,-2.387549854713817,-1.7141370636909001,0.34534325353904305
235,295,1544,7380,120000,120000,120000,-2.8057057514853234,-2.269042858464631,-1.6711985921085741,0.45575999368211756
236,481,1822,7436,120000,120000,120000,-2.63089423600053,-2.1994809827377155,-1.660978164058052,0.4822152567632816
237,168,1042,5816,120000,120000,120000,-2.7868279331572268,-2.2784221069315986,-1.6190442670987433,0.46845569242955126
238,109,929,5363,120000,120000,120000,-2.9115293208622823,-2.2755730889904804,-1.605300576715103,0.4470551554168919
239,195,1190,6296,120000,120000,120000,-2.8116299916596166,-2.2779128971122566,-1.6628385545633178,0.45377472852248485
240,167,1152,5990,120000,120000,120000,-2.9137295301153836,-2.2944675923774644,-1.6792994340660736,0.44821310809280235
241,254,1500,7302,120000,120000,120000,-2.839809701665624,-2.28775200141719,-1.668092339477151,0.450390646502286
242,172,1134,6006,120000,120000,120000,-2.881088002087652,-2.314187505758679,-1.7010970591490402,0.43381067491653225
