w_0,gamma_0,gamma_1,gamma_2
0.4540370955385515,-3.010839808444042,-2.414166106021669,-1.6985347409291611
0.4863670357993485,-2.9158205618804383,-2.286110643863211,-1.6226962031450043
0.496486897122637,-2.894118224797304,-2.30347958071066,-1.6150649778914654
0.4388143275408814,-3.000393952283886,-2.4015194542382163,-1.6970921223021922
0.4631388244303848,-2.989291894259103,-2.328635961921428,-1.6694088786719834
0.4545017755010005,-2.836933082405685,-2.2218975291822445,-1.5682440688594854
0.4668509820140395,-2.998379680900568,-2.3695485967107985,-1.6722495651588931
0.4369842325781645,-2.981650066364607,-2.321759361436901,-1.653026387330757
0.4424472094705609,-2.917312373897276,-2.3155256272468514,-1.637773124438868
0.4356844762735229,-2.8923810181218474,-2.2973405920532284,-1.5883902708726318
0.4375509670329617,-3.03625866036243,-2.4223444629408646,-1.7287018406442431
0.4379123314249765,-2.995535274991056,-2.3672727319844915,-1.6548503664952172
0.4232264318132963,-3.049383447843804,-2.3542648341126795,-1.6542348398048785
0.4274656138893355,-2.9564767982076363,-2.3577689802162296,-1.6709639281019406
0.4402683305681039,-3.004919638541604,-2.39201953858558,-1.6704428822002986
0.4250669874490355,-2.9991370211903816,-2.398041147251872,-1.672133879700722
0.4163274828128886,-3.070005336233348,-2.3978246812536868,-1.7073768850204127
0.4683199593295879,-2.8794181771831138,-2.2820763486677427,-1.5822268209884125
0.4297469154044628,-2.931965958510796,-2.319478598213245,-1.6247769595256916
0.4542400567224961,-2.9604291898224697,-2.29015011684656,-1.637558967379722
0.4631928994930128,-2.982682739123484,-2.324818518047069,-1.6765095996866302
0.4625756497128231,-2.8785736428723263,-2.307889026327937,-1.6444967085205109
0.4277316692937135,-3.005614170740897,-2.351883911540344,-1.6728969794702848
0.4254164658951564,-2.919392750523361,-2.3044683265009893,-1.5809837620607554
0.5125291849736819,-3.0601058098717173,-2.354933954937361,-1.6862419195385543
0.4700347426831386,-2.9854997428076957,-2.345750388028653,-1.7046233045558568
0.4664387596229034,-2.979923591785857,-2.323863018654548,-1.6506057256586328
0.4460138902997376,-2.945080488531173,-2.3433264587559157,-1.6449892118585137
0.4658313825736169,-2.952466174234876,-2.327914563670566,-1.6176007420231526
0.4679447983161166,-2.98313145163984,-2.364744072538449,-1.6824892655253587
0.4910844237562701,-2.7962342437689065,-2.2029707209672744,-1.5150084464028026
0.4361938819800413,-2.943829348796574,-2.2877156684781825,-1.5994172850427504
0.436767383595106,-2.9076243200078093,-2.3308242699784616,-1.6346775298349658
0.3945772320477801,-2.990063257027351,-2.3754787478971617,-1.635442855696598
0.4739280397931072,-2.9145595010277487,-2.2835245703300324,-1.618091383261138
0.4381867747893261,-2.938825542000525,-2.30101767381269,-1.619662187818082
0.4671328482122022,-2.938166995464574,-2.287195969726113,-1.598528568590236
0.4401757627846761,-2.8634351729300955,-2.2468685950495897,-1.587384434744202
0.4370038803661498,-2.9938684230085317,-2.3854379160859347,-1.6856840953710006
0.4284659957267536,-2.990038559023796,-2.343075627756715,-1.6652292813486549
0.4643193115104106,-2.931390322113544,-2.31741825208165,-1.6252749233767068
0.4431972208293713,-3.0039001479471583,-2.376928166703347,-1.659892673772296
0.4650857430610999,-2.984495273317024,-2.339945159335656,-1.656590628584152
0.4208446860915604,-3.0237299874276906,-2.332558485326449,-1.624226509840014
0.4077470425775226,-2.914602925013812,-2.30489785593612,-1.6233355504555975
0.4858467600985475,-2.882408864876382,-2.2692043389895886,-1.5957204423451334
0.4466791567138798,-2.929865140387997,-2.352978376911288,-1.642482403808863
0.4410690321163947,-2.9867387725002223,-2.3566837224917263,-1.6765394970913374
0.4332491992004039,-2.9271162082079587,-2.303826802278466,-1.5928063006782711
0.4508901875857008,-3.0456593656647297,-2.365873061082584,-1.6755416201496245
0.4468241694802807,-3.022062264153256,-2.4441076684091363,-1.7048026061679322
0.4382535426713351,-2.9280388328748965,-2.2914119410691005,-1.5798719732697744
0.4110816175523232,-2.983782865669845,-2.3506699005632017,-1.6310669733295955
0.4716235583588067,-2.880299665234545,-2.2614355708417477,-1.5948085477606648
0.4680849027014628,-2.9129009622007027,-2.2989132417989744,-1.6121775569742298
0.3952591769389478,-2.9939657207469472,-2.394292672724419,-1.6798926639662577
0.4484293879973962,-3.0138686067071925,-2.3442030750529304,-1.6707198244314878
0.4290995386818669,-3.003187621924867,-2.318104216155437,-1.6297357409349529
0.413834541765148,-3.038490054730002,-2.389340672279963,-1.6936231186199924
0.4689652747455712,-2.933081870124657,-2.3495240615602726,-1.650827006079018
0.4882501377610898,-2.94057028380581,-2.298323653519092,-1.672348786083225
0.4679057031369462,-2.9152622926201865,-2.285773874809451,-1.5881131252686056
0.3954387491317813,-3.054920048996474,-2.3456102789120066,-1.6248886999525485
0.4421074852503434,-2.923249317041947,-2.329174845214439,-1.613727853674076
0.4328780586639354,-2.935073130697586,-2.2825123944784957,-1.5722865799779369
0.4331154059202969,-2.9320832629633165,-2.3107634582489367,-1.6470950958144124
0.4928375254630653,-2.8249458142927573,-2.2542893462935547,-1.5845074747238732
0.4549742222220357,-2.8993860336893023,-2.22952193107894,-1.5901916411522403
0.4718437159984211,-3.0577183805422385,-2.3745792866778763,-1.7196280191336055
0.4564471426790919,-3.015442310827736,-2.3489285390945347,-1.6508529457995844
0.4579502136630701,-2.959636243962604,-2.339720003822681,-1.682209346298941
